id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
9283808,03003551111000024000000000U9,SUBESTACION ELECTRICAS OLAS ALTAS,COMISION FEDERAL DE ELECTRICIDAD ,551111,Corporativos,50,OTRO (ESPECIFIQUE),SIN REFERENCIA,OTRO (ESPECIFIQUE),SIN REFERENCIA,CALLE,NINGUNO,OTRO (ESPECIFIQUE),SIN REFERENCIA,,SN,,,,,COLONIA,OLAS ALTAS,,,,23089,3,Baja California Sur,3,La Paz,1,La Paz                                                                                                        ,720,1,,GERARDO.MONAY@DT.CFE.MX,,Fijo,24.0358188,-110.3378374,2020-11
6253029,04002551111000011001000000U7,CORPORATIVO GES,GRUPO ENERGETICO DEL SURESTE SA DE CV,551111,Corporativos,5,AVENIDA,ADOLFO RUIZ CORTINES,CALLE,NINGUNO,CALLE,NINGUNO,AVENIDA,ADOLFO RUÍZ CORTINES,112,,,,5,,BARRIO,SAN ROMAN,,,,24040,4,Campeche,2,Campeche,1,San Francisco de Campeche                                                                                     ,41,40,,ANGEL.LOPEZ@GRUGES.COM.MX,,Fijo,19.84432185,-90.54285306,2010-07
9366737,04002551111000041000000000U4,SIX ROSI,CHUACTEMOC MOCTEZUMA SA DE CV,551111,Corporativos,5,CALLE,CUARZO,CALLE,ORO,CALLE,PLATA,CALLE,CUARZO,4,,,,,,COLONIA,MINAS,,,,24026,4,Campeche,2,Campeche,1,San Francisco de Campeche                                                                                     ,1694,1,9828224664,,SIXROSI,Fijo,19.86109371,-90.49425245,2021-05
6300566,05018551111000021000001527S1,ALTOS HORNOS DE MEXICO,ALTOS HORNOS DE MEXICO SAB DE CV,551111,Corporativos,5,PROLONGACION,PROLONGACIÓN BENITO JUÁREZ,CALLE,SIN REFERENCIA,CALLE,HAROLD R. PAPE,CALLE,NINGUNO,0,SN,,,,,COLONIA,LA LOMA,,,,25770,5,Coahuila de Zaragoza,18,Monclova,1,Monclova                                                                                                      ,173,1,,RGONZALEZALCALA@GAN.COM.MX,AHMSA.COM,Fijo,26.88462085,-101.417122,2010-07
6255869,05035551111000011000000000U6,AUSTIN POWDER MEXICO,AUSTIN POWDER MEXICO SA DE CV,551111,Corporativos,5,AVENIDA,MORELOS,CALLE,GONZÁLEZ ORTEGA,CALLE,DEGOLLADO,AVENIDA,MATAMOROS,187,ORIENTE,,,,,COLONIA,CENTRO,,,,27000,5,Coahuila de Zaragoza,35,Torreón,1,Torreón                                                                                                       ,1524,20,,VGARCIA@AUSTINMX.COM,AUSTINMX.COM,Fijo,25.53940855,-103.4466984,2014-12
9352093,05035551111000031000000000U4,BODEGA AUXILIAR DEL YONKE EL CONEJO,,551111,Corporativos,5,CALLE,CARLOS SALINAS DE GORTARI,CALLE,LAZARO CARDENAS,CALLE,FELIX ZULUAGA,CALLE,ADOLFO LÓPEZ MATEOS,8303,,,,0,,COLONIA,NUEVA LAGUNA,,,,27110,5,Coahuila de Zaragoza,35,Torreón,1,Torreón                                                                                                       ,308A,13,8711150512,,,Fijo,25.58451406,-103.418401,2021-05
6885463,05018551112000015000000000U1,CORPORACION ALTOS DE CHAVON,CORPORACION ALTOS DE CHAVON SA DE CV,551112,Tenedoras de acciones,100,BOULEVARD,HAROLD R. PAPE,CALLE,MATAMOROS SUR,CALLE,JESÚS SILVA SUR,BOULEVARD,HAROLD R. PAPE,803,B,,,,,COLONIA,COLONIA GUADALUPE,,,,25750,5,Coahuila de Zaragoza,18,Monclova,1,Monclova                                                                                                      ,1059,31,,MGONZALEZ@CEGIMSA.COM.MX,,Fijo,26.8958949,-101.4255533,2019-04
9309805,05030551111000032000000000U3,GRUPO CEGO,COESNO SA DE CV,551111,Corporativos,10,CALLE,CARRETERA A LOS VALDEZ,CALLE,LOMA LINDA,OTRO (ESPECIFIQUE),CARRETERA LOS VALDES,CALLE,LOMA SECA,7826,,PLAZA CAMPESTRE,,0,2,FRACCIONAMIENTO,RESIDENCIAL LOMA BLANCA,,,,25208,5,Coahuila de Zaragoza,30,Saltillo,1,Saltillo                                                                                                      ,3172,17,,ADMINISTRACION@GRUPOCEGO.COM,,Fijo,25.49479082,-100.9463992,2020-11
9314269,05030551111000041000000000U4,GRUPO FOREM,GRUPO FOREM ,551111,Corporativos,5,PERIFERICO,LUIS ECHEVERRIA,CALLE,MARIANO ABASOLO,CALLE,JOSE MARIA LAFRAGUA,CALLE,NINGUNO,1285,,,PLANTA BAJA,,,FRACCIONAMIENTO,GUANAJUATO,CENTRO Y PLAZA COMERCIAL,PLAZA LAS PALMAS,16,25280,5,Coahuila de Zaragoza,30,Saltillo,1,Saltillo                                                                                                      ,2189,1,,,,Fijo,25.44219621,-100.9780114,2020-11
6255825,05030551112000011002040142M5,GRUPO INDUSTRIAL SALTILLO GISSA - CONTROLADORA HOLDING,GRUPO INDUSTRIAL SALTILLO ,551112,Tenedoras de acciones,5,BOULEVARD,ISIDRO LÓPEZ ZERTUCHE,CALLE,CARLOS SANTANA,CALLE,SANTA MARÍA,CALLE,PRINCIPAL,1495,,,,0,,COLONIA,CENTRO,,,,25000,5,Coahuila de Zaragoza,30,Saltillo,1,Saltillo                                                                                                      ,2278,9,,ELIZABETH.RODRIGUEZ@GIS.COM.MX,WWW.GIS.COM,Fijo,25.43847704,-101.0033149,2010-07
6317176,09010551111000071000000000U9,GRUPO PIRACAL,GRUPO PIRACAL SA DE CV,551111,Corporativos,5,CALLE,CUARTA,CALLE,16,PRIVADA,17,CALLE,SIN REFERENCIA,0,SN,,,,,COLONIA,VICENTE GUERRERO,,,,27000,5,Coahuila de Zaragoza,35,Torreón,1,Torreón                                                                                                       ,1100,2,,CRUIZ@CALIDRA.COM.MX,,Fijo,25.51035269,-103.4291455,2010-07
9290122,06010551112000021000000000U5,BODEGA JASSHI SIN NOMBRE,,551112,Tenedoras de acciones,5,CALLE,PICACHOS,CALLE,AGUA DULCE,CALLE,MARIA AHUMADA DE GOMEZ,CALLE,JULUAPAN,448,,,,0,,COLONIA,CAMPRESTRE,,,,28988,6,Colima,10,Villa de Álvarez,1,Ciudad de Villa de Álvarez                                                                                    ,358,24,,CAMPESTRE@SUHIJASHI.COM,WWW.SUHIJASHI.COM,Fijo,19.27268512,-103.7420503,2020-11
9349698,06002551111000063000000000U6,COMERCIALIZADORA COLIMA DEL PACIFICO,COMERCIALIZADORA COLIMA DEL PACIFICO SA DE CV,551111,Corporativos,30,CALZADA,LA ARMONIA,CALLE,AMADO NERVO,CALLE,MARIANO ARISTA,CALLE,INDEPENDENCIA,270,,,,,,COLONIA,HIDALGO,,,,28037,6,Colima,2,Colima,1,Colima                                                                                                        ,676,14,,RARIZAGA@AUDIORAMA.MX,,Fijo,19.25662705,-103.7249708,2021-05
9289566,06002551111000052000000000U9,CORPORATIVO DE SEGURIDAD LUKAR,CORPORATIVO DE SEGURIDAD PRIVADA LUKAR S DE RL DE CV,551111,Corporativos,10,AVENIDA,NIÑOS HEROES DE CHAPULTEPEC,CALLE,PRIMERO DE MAYO,CALLE,LOPEZ MATEOS,AVENIDA,DE LOS INSURGENTES,717,,,,0,,COLONIA,CAMINO REAL,,,,28040,6,Colima,2,Colima,1,Colima                                                                                                        ,888,1,,CORPORATIVOLUKAR@GMAIL.COM,,Fijo,19.23723454,-103.7144135,2020-11
6419561,06007551112000011000000000U2,IMPLEMENTACIONES RENOVABLES DE MEXICO,IMPLEMENTACIONES RENOVABLES DE MEXICO SAPI DE CV,551112,Tenedoras de acciones,5,CALLE,CENTRAL ORIENTE,AVENIDA,CENTRAL SUR,AVENIDA,UNO ORIENTE,AVENIDA,UNO ORIENTE,5,,,,0,,PARQUE INDUSTRIAL,FONDEPORT,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL FONDEPORT,,28219,6,Colima,7,Manzanillo,1,Manzanillo                                                                                                    ,687,4,,irodriguez@grupomar.com,,Fijo,19.08137773,-104.291114,2013 07
6874361,06007551112000021000000000U1,OCUPA HOLDING,OCUPA HOLDING SA DE CV,551112,Tenedoras de acciones,5,AVENIDA,CENTRAL SUR,CALLE,UNO PONIENTE,CALLE,PARGO,CALLE,PONIENTE UNO,0,SN,,,,,PARQUE INDUSTRIAL,FONDEPORT,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL FONDEPORT,,28219,6,Colima,7,Manzanillo,1,Manzanillo                                                                                                    ,687,8,,,,Fijo,19.0814908,-104.2928784,2019-04
6254745,07101551112000011001000000U2,GD GRUPO EJECUTIVO,GD GRUPO EJECUTIVO SA DE CV,551112,Tenedoras de acciones,30,CALLE,NOVENA PONIENTE SUR,AVENIDA,EUGENIA,CALLE,SAN BORJA,CALLE,GABRIEL MANCERA,172,,,,0,,COLONIA,CENTRO,,,,29066,7,Chiapas,101,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez                                                                                              ,950,22,,,,Fijo,16.75411791,-93.12401723,2013-07
6296928,07101551111000011000049192M4,GRUPO FARRERA,GRUPO FARRERA SA DE CV,551111,Corporativos,5,CALLE,DÉCIMA SEGUNDA PONIENTE SUR,AVENIDA,CENTRAL PONIENTE,CALLEJON,PRIMERA NORTE,CALLE,DÉCIMA TERCERA PONIENTE NORTE,161,A,,,,,COLONIA,EL MAGUELLITO,,,,29000,7,Chiapas,101,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez                                                                                              ,912,14,9615790641,GSANCHEZ@GFARRERA.COM.MX,,Fijo,16.75409942,-93.12577769,2014-12
6862105,07101551112000025001000000U2,GRUPO TRANSPORTISTA EXPRESO DEL SURESTE,GRUPO TRANSPORTISTA EXPRESO DEL SURESTE SA DE CV,551112,Tenedoras de acciones,250,CALZADA,SAMUEL LEÓN BRINDIS,AVENIDA,NOVENA SUR ORIENTE,AVENIDA,GILBERTO VALENZUELA,CALZADA,SAMUEL LEÓN BRINDIS,1041,,,,0,,COLONIA,CAMINERA,,,,29090,7,Chiapas,101,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez                                                                                              ,1111,37,,MMARTINEZ@GRUPOAEXXA.COM,,Fijo,16.74173951,-93.10186326,2019-04
9319459,07074551111000011000028292S3,REP. JURÍDICA TUXTLA GUTIÉRREZ,PETRÓLEOS MEXICANOS ,551111,Corporativos,5,CALLE,Joaquín Miguel Gutiérrez,CALLE,Juspi,AVENIDA,Venezuela,OTRO (ESPECIFIQUE),Ninguno,145,,,,0,,COLONIA,CENTRO,,,,29500,7,Chiapas,74,Reforma,1,Reforma                                                                                                       ,129,22,,,,Fijo,17.85982722,-93.15328298,2020-11
9330876,08019551111000121000028292S4,A. C. H. CHIHUAHUA,PETRÓLEOS MEXICANOS ,551111,Corporativos,5,CALLE,Agustín Melgar,AVENIDA,Avenida de las Industrias,CALLE,General Pedro María Anaya,OTRO (ESPECIFIQUE),Ninguno,3300,,,,0,,LOCALIDAD,CHIHUAHUA,,,,31134,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,3130,37,0,,,Fijo,28.66556589,-106.0827906,2020-11
6295112,08019551111000074001000000U5,ACCEL LOGÍSTICA,ACCEL SAB,551112,Tenedoras de acciones,10,CIRCUITO,AVENIDA DE LAS AMÉRICAS,AVENIDA,GEORGE WASHINGTON,CALLE,INDUSTRIAL AUTOMOTRIZ,CALLE,PAVOREAL,0,SN,,,0,,PARQUE INDUSTRIAL,PANAMERICANA,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL LAS AMÉRICAS,SN,31201,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,1990,29,,CGONZALEZ@ACCEL.COM.MX,ACCELLOGISTICA.COM.MX,Fijo,28.65162534,-106.1215338,2010-07
6857426,08037551111000033000000000U3,AGROPECUARIA NUEVA HOLANDA,AGROPECUARIA NUEVA HOLANDA S DE RL DE CV,551111,Corporativos,30,AVENIDA,ANTONIO BERMÚDEZ,CALLE,NINGUNO,OTRO (ESPECIFIQUE),SIN REFERENCIA,AVENIDA,ANTONIO BERMÚDEZ,3651,,,,1,,COLONIA,PARTIDO SENECU,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL IFFEL,,32469,8,Chihuahua,37,Juárez,1,Juárez                                                                                                        ,2111,47,,ACONTRERAS@LECHERIAESCOBAR.COM,,Fijo,31.68959147,-106.4056162,2019-04
6732635,08019551111000091001000000U9,BLU CAPITAL,EMPRESAS Y DESARROLLOS DE CHIHUAHUA SA DE CV,551111,Corporativos,5,AVENIDA,COLEGIO,CALLE,HACIENDA LA CANTERA,AVENIDA,TOMÁS VALLES VIVAR,CIRCUITO,HACIENDAS DEL VALLE,6304,,,,0,,FRACCIONAMIENTO,HACIENDAS DEL VALLE,OTRO CONGLOMERADO,IMPULSO,SN,31217,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,8362,3,,ASALCIDO@BLUCAPITAL.MX,,Fijo,28.63203207,-106.126323,2016-10
9326512,08019551111000164000000000U4,CFE TERMOELECTRICA,COMISION FEDERAL DE ELECTRICIDAD ,551111,Corporativos,50,CALLE,AGUSTIN MELGAR,CALLE,17,CALLE,15,CALLE,ABRAHAM GONZALEZ,,SN,,,,,COLONIA,MEXICO 91,,,,31064,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,6366,9,,,,Fijo,28.60172847,-106.0046904,2020-11
9289337,08019551111000172000000000U7,CODMEN,CODMEN ,551111,Corporativos,10,PRIVADA,NINGUNO,CALLE,NINGUNO,AVENIDA,HOMERO,AVENIDA,NICOLÁS GOGOL,,SN,,,,,PARQUE INDUSTRIAL,COMPLEJO INDUSTRIAL CHIHUAHUA,,,,31136,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,4891,35,,,,Fijo,28.71566285,-106.1091431,2020-11
6292300,08019551111000066000000000U1,CORPORACIÓN TÉCNICA DE URBANISMO,CORPORACIÓN TÉCNICA DE URBANISMO SA DE CV,551111,Corporativos,250,AVENIDA,AVENIDA MELCHOR OCAMPO,CALLE,MINA,CALLE,PRIMERO DE MAYO,CALLE,16,204,,,,0,SN,COLONIA,SANTA RITA,,,,31000,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,3662,25,,ANAHI.GALAVIZ@CTU.COM.MX,,Fijo,28.62821627,-106.0741017,2010-07
9314494,08019551111000182000000000U6,CORPORATIVO COSMO,CORPORTATIVO COSMO ,551111,Corporativos,10,AVENIDA,HOMERO,CALLE,FERROCARRIL,AVENIDA,AVENIDA DE LAS INDUSTRIAS,CALLE,NINGUNO,,SN,,,,,PARQUE INDUSTRIAL,COMPLEJO INDUSTRIAL CHIAHUAHUA,,,,31136,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,4891,22,,,,Fijo,28.71355329,-106.1020301,2020-11
6775353,08021566319000014000000000U9,CORPORATIVO HBG,PETCACOMERCIAL SA DE CV,551111,Corporativos,50,BOULEVARD,OSCAR FLORES,CALLE,22 NORTE,CALLE,23 NORTE,CALLE,23 NORTE,2206,,,,0,SN,COLONIA,CARMONA,,,,33038,8,Chihuahua,21,Delicias,1,Delicias                                                                                                      ,83,21,,CONTA1@HBG.MX,,Fijo,28.2112962,-105.4802354,2017-03
9349258,08037551111000083000000000U8,CORPORATVO INTEGRAL,CORPORATIVO INTEGRAL SA DE CV,551111,Corporativos,30,BOULEVARD,N. MUNICIPIO LIBRE,CALLE,SALVADOR DIAZ MIRON,CALLE,CADETES DEL 47,CALLE,CADETES DEL 47,2808,,,,0,,COLONIA,MELCHOR OCAMPO,,,,32380,8,Chihuahua,37,Juárez,1,Juárez                                                                                                        ,878,37,,,,Fijo,31.72013007,-106.4603506,2021-05
9278539,08037551111000054000000000U9,GASOLINERA PEMEX,PETROLEOS MEXICANOS ,551111,Corporativos,50,PRIVADA,WATERFILL,CALLE,RAMON RAYON,CALLE,RAMON RAYON,PRIVADA,WATERFILL,,SN,,,,,COLONIA,RIO BRAVO,,,,32550,8,Chihuahua,37,Juárez,1,Juárez                                                                                                        ,3459,15,,,,Fijo,31.66772257,-106.3503681,2020-11
6295111,08019551111000051000000000U3,GCC,GRUPO CEMENTOS DE CHIHUAHUA SAB DE CV,551111,Corporativos,5,CALLE,CUARTA,CALLE,JUAN DE LA BARRERA,CALLE,CHAPULTEPEC,CALLE,GENERAL PEDRO MARÍA ANAYA,0,SN,,,0,,ZONA INDUSTRIAL,NOMBRE DE DIOS,ZONA INDUSTRIAL,ZONA INDUSTRIAL NOMBRE DE DIOS,,31110,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,2895,5,,MACOSS@GCC.COM,WWW.GCC.COM,Fijo,28.68833045,-106.0867287,2014-12
6292297,08019511111000051011000000U2,GRUPO BAFAR,GRUPO BAFAR ,551111,Corporativos,30,AVENIDA,CARRETERA CHIHUAHUA-CUAUHTEMOC KM 7.5,CALLE,SANTA EULALIA,CALLE,SAN ISIDRO,CALLE,NINGUNO,0,SN,,,0,SN,COLONIA,LAS ÁNIMAS,,,,31450,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,258A,1,,,WWW.GRUPOBAFAR.COM,Fijo,28.58277289,-106.1191501,2014-12
9327826,08019551111000201000000000U4,GRUPO COMERCIAL  DSW,GRUPO COMERCIAL  DSW ,551111,Corporativos,5,CALLE,MERCURIO,CALLE,COSMOS,AVENIDA,AVENIDA DE LAS INDUSTRIAS,OTRO (ESPECIFIQUE),SIN REFERENCIA,,SN,,,,,ZONA INDUSTRIAL,SATELITE,ZONA INDUSTRIAL,ZONA INDUSTRIAL NOMBRE DE DIOS,,31104,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,3041,33,,,,Fijo,28.6684762,-106.0854178,2020-11
6861400,08019551112000041001048382S2,IENOVA GASODUCTOS MEXICO,IENOVA GASODUCTOS MEXICO S DE RL DE CV,551112,Tenedoras de acciones,30,AVENIDA,TECNOLÓGICO,CALLE,PASEO DE GUERRERO,CALLE,NINGUNO,AUTOPISTA,ÁLVARO FIERRO,4505,,,,0,,COLONIA,GRANJAS,,,,31160,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,3037,35,,JREYES@IENOVA.COM.MX,WWW.IENOVA.COM,Fijo,28.66794685,-106.0929329,2019-04
9366402,08037551111000073000000000U9,INDUSTRIAL SORDING,INDUSTRIAL SORDING S DE RL DE CV,551111,Corporativos,30,CALLE,URANO,CALLE,NEPTUNO,CALLE,CAMINO DE LOS CIPRESES,CALLE,NEPTUNO,13002,3,,,,,COLONIA,SATELITE,,,,32540,8,Chihuahua,37,Juárez,1,Juárez                                                                                                        ,2291,41,,,,Fijo,31.67641725,-106.3783388,2021-05
9318929,08019551111000192000000000U5,MHA CORPORATIVO,COORPORATIVO MHA MEXICO SAPI DE CV,551111,Corporativos,10,CARRETERA,CHIHUAHUA - ALDAMA,AVENIDA,CLUB DE LEONES DE CHIHUAHUA,CALLE,KALAHARI,OTRO (ESPECIFIQUE),SIN REFERENCIA,101,,,PLANTA BAJA,,,FRACCIONAMIENTO,PRADERAS DE LEON,CENTRO Y PLAZA COMERCIAL,PLAZA LOS LEONES,,31313,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,8080,7,,,,Fijo,28.67282825,-106.0278724,2020-11
9387619,08037551111000091000000000U1,MI ECO CASA,VETA VERDE SA DE CV,551111,Corporativos,30,AVENIDA,DEL GRANJERO,CALLE,ERITREA,CALLE,CANADA,CALLE,CANADÁ,2417,SN,,,,,FRACCIONAMIENTO,OASIS,,,,32450,8,Chihuahua,37,Juárez,1,Juárez                                                                                                        ,3961,11,,,,Fijo,31.65819596,-106.4189006,2022-05
6782450,08019551111000104001000000U0,SUPERIOR SHARED,SUPERIOR SHARED SERVICES S DE RL DE CV,551111,Corporativos,250,CALLE,VÍA LOMBARDÍA,CALLE,VÍA VÉNETO,CALLE,CITADELA,CALLE,VÍA TRENTINO,5705,,CORPORATIVO,,2,,COLONIA,SAUCITO,EDIFICIO COMERCIAL Y DE SERVICIOS,CORPORATIVO,,31110,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,5692,8,,NDOMINGU@SUPID.COM,WWW.SUPERIOR.COM,Fijo,28.6621398,-106.1279723,2017-03
9366160,08037551111000061000000000U4,TALLER TLMC,,551111,Corporativos,5,CALLE,NIGERIA,CALLE,BULGARIA,CALLE,BURMA,CALLE,NIGERIA,7003,,,,,,COLONIA,INFONAVIT OASIS,,,,32697,8,Chihuahua,37,Juárez,1,Juárez                                                                                                        ,3961,24,,,,Fijo,31.65809593,-106.4251953,2021-05
6292303,08019551112000031000000000U3,TENEDORA AGNICO EAGLE MÉXICO,TENEDORA AGNICO EAGLE MEXICO SA DE CV,551112,Tenedoras de acciones,5,CALLE,VÍA TRENTINO,CALLE,VÍA TRENTINO,CALLE,VÍA LOMBARDÍA,AVENIDA,FRANCISCO VILLA,5710,,CORPORATIVO VETRO,PISO 5,504,,COLONIA,SAUCITO,EDIFICIO COMERCIAL Y DE SERVICIOS,CORPORATIVO VETRO,,31110,8,Chihuahua,19,Chihuahua,1,Chihuahua                                                                                                     ,5692,1,,DAVID.VALDEZ@AGNICOEAGLE.COM,,Fijo,28.66309615,-106.1286317,2011-03
